class,file,number,odd,gap,elapsed,fixNum,gazes,fixavglen,sacavglen,saclen,rec,det,lam,corm,coverage5,coverage7,coverage10
L,C1104,7,2,20,1083,2,66,466.5,3.273241232894655,6.54648246578931,0.0,0.0,0.0,0.0,0.08,0.04081632653061224,0.02
L,C1104,8,1,19,738,1,45,736.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.02040816326530612,0.01
L,C1104,9,2,20,1740,4,105,368.5,8.404252110040384,33.617008440161534,9.859791949344189,0.0,0.0,6.573194632896126,0.12,0.061224489795918366,0.03
L,C1330,0,1,814,6077,8,207,186.25,4.782101349231553,38.256810793852424,7.238734419942474,0.0,47.814569536423846,3.1927133269415147,0.16,0.08163265306122448,0.05
L,C1330,1,2,250,10999,12,367,237.91666666666666,5.49315220844426,65.91782650133112,11.02372233720745,0.0,13.864818024263432,5.252782562128208,0.2,0.12244897959183673,0.08
L,C1330,10,1,692,6021,6,288,762.5,2.6317076152232457,15.790245691339473,4.227322404371585,0.0,0.0,2.5363934426229506,0.12,0.061224489795918366,0.05
L,C1330,11,2,317,11024,14,584,650.2142857142857,5.6731551095120105,79.42417153316815,37.78889461631415,24.088195174310698,53.073637603703126,13.483557992130821,0.08,0.061224489795918366,0.04
L,C1330,12,1,280,6040,5,261,731.4,7.523795782241105,37.618978911205524,19.585726004922066,0.0,0.0,9.792863002461033,0.12,0.061224489795918366,0.03
L,C1330,13,2,175,11033,8,589,1165.125,5.394117233047424,43.15293786437939,42.559811179058045,25.236774820843387,57.247290143685404,24.747497969255292,0.08,0.061224489795918366,0.04
L,C1330,14,1,166,6038,9,278,411.6666666666667,3.5243957157776427,31.719561441998785,17.894736842105264,0.0,48.095776772247355,7.084176788124156,0.12,0.08163265306122448,0.05
L,C1330,15,2,2362,8683,3,215,217.66666666666666,2.31269507317,6.93808521951,0.0,0.0,0.0,0.0,0.08,0.04081632653061224,0.03
L,C1330,16,1,183,6028,5,320,408.0,3.1439012207800756,15.719506103900379,26.10294117647059,0.0,109.71830985915493,9.154411764705882,0.08,0.061224489795918366,0.05
L,C1330,17,2,187,11020,23,595,254.34782608695653,4.12028990428524,94.76666779856052,10.124320124320125,25.725249424405217,54.178818112049115,3.1253796708342163,0.24,0.12244897959183673,0.11
L,C1330,18,1,575,6030,6,240,256.0,3.603026473757455,21.61815884254473,16.6796875,0.0,100.0,3.3359375,0.12,0.08163265306122448,0.04
L,C1330,19,2,2286,11025,7,194,225.85714285714286,2.7396644423234804,19.177651096264363,14.041745730550284,0.0,39.451951951951955,8.375500737929581,0.08,0.061224489795918366,0.04
L,C1330,2,1,1265,6027,1,106,131.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.02040816326530612,0.01
L,C1330,20,1,333,6019,8,179,201.375,5.094967560016519,40.75974048013215,2.092755165380864,0.0,0.0,0.5979300472516753,0.2,0.10204081632653061,0.07
L,C1330,21,2,283,11026,14,497,184.14285714285714,4.20157792087032,58.822090892184484,10.303156889658053,36.77961193165363,14.72632493483927,2.961793234515082,0.16,0.10204081632653061,0.07
L,C1330,22,1,112,6022,9,316,230.0,3.753538032180181,33.78184228962163,16.382850241545892,0.0,58.090674530040545,7.279589371980676,0.16,0.08163265306122448,0.06
L,C1330,23,2,265,11032,16,602,432.75,3.684281471272698,58.94850354036317,19.014057384941268,82.59064209033825,97.12882317196677,7.1495603055395085,0.12,0.10204081632653061,0.06
L,C1330,3,2,3568,9053,5,86,560.6,5.420070331874426,27.10035165937213,0.0,0.0,0.0,0.0,0.12,0.08163265306122448,0.05
L,C1330,4,1,3412,4759,0,3,0,0,0.0,0,0,0,0,0.0,0.0,0.0
L,C1330,5,2,3425,7621,4,133,188.0,3.7326817065066065,14.930726826026426,15.602836879432624,0.0,100.00000000000001,5.200945626477542,0.12,0.061224489795918366,0.03
L,C1330,6,1,726,5997,6,149,238.33333333333334,2.033820793999297,12.202924763995782,38.78321678321679,0.0,56.76163000360621,17.23076923076923,0.08,0.061224489795918366,0.04
L,C1330,7,2,157,6395,5,365,1237.0,4.083390685531208,20.416953427656043,18.18108326596605,100.0,0.0,9.090541632983024,0.04,0.04081632653061224,0.02
L,C1330,8,1,727,5991,7,303,787.2857142857143,5.10086407523987,35.70604852667909,13.279501602854896,53.49578683671146,0.0,7.514264400491945,0.08,0.061224489795918366,0.05
L,C1330,9,2,204,11037,7,608,1474.857142857143,5.686697094739402,39.80687966317581,15.933746609841146,0.0,0.0,8.721587240087821,0.12,0.08163265306122448,0.04
L,C1600,0,1,46,3986,6,238,421.0,3.858435743966522,23.15061446379913,0.0,0.0,0.0,0.0,0.12,0.08163265306122448,0.05
